Time,Occupant Number,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,INDOOR Mean Radiant Temp.,Predicted Mean Vote (PMV)
735082.552083,1.0,23.548963,51.976,0.030988,23.548963,-0.732006
735082.5625,1.0,23.721585,52.166,0.030988,23.721585,-0.668038
735082.572917,1.0,23.721585,52.264,0.030988,23.721585,-0.667344
735082.583333,1.0,23.721585,52.365,0.030988,23.721585,-0.666629
735082.59375,1.0,23.894207,52.116,0.030988,23.894207,-0.605759
735082.604167,1.0,23.721585,51.902,0.030988,23.721585,-0.669906
735082.614583,1.0,23.721585,51.617,0.030988,23.721585,-0.671922
735082.625,1.0,23.721585,51.368,0.030988,23.721585,-0.673684
735082.635417,1.0,23.721585,51.21,0.030988,23.721585,-0.674802
735082.645833,1.0,23.721585,51.02,0.030988,23.721585,-0.676147
735082.65625,1.0,23.721585,50.925,0.030988,23.721585,-0.676819
735082.666667,1.0,23.721585,50.858,0.030988,23.721585,-0.677293
735082.677083,1.0,23.721585,50.763,0.030988,23.721585,-0.677965
735082.6875,1.0,23.721585,50.665,0.030988,23.721585,-0.678659
735082.697917,1.0,23.721585,50.532,0.030988,23.721585,-0.6796
735082.708333,1.0,23.635274,50.532,0.030988,23.635274,-0.710859
735082.71875,1.0,23.721585,50.465,0.030988,23.721585,-0.680074
735082.729167,1.0,23.721585,50.586,0.030988,23.721585,-0.679218
735082.739583,1.0,23.635274,50.804,0.030988,23.635274,-0.708944
735082.75,1.0,23.376341,50.893,0.030988,23.376341,-0.802138
735082.760417,1.0,23.376341,50.946,0.030988,23.376341,-0.801771
735082.770833,1.0,23.203719,50.813,0.030988,23.203719,-0.865237
735082.78125,1.0,23.203719,50.898,0.030988,23.203719,-0.864654
735082.791667,1.0,23.203719,50.962,0.030988,23.203719,-0.864215
735082.802083,1.0,23.203719,50.895,0.030988,23.203719,-0.864674
735082.8125,1.0,23.031097,50.829,0.030988,23.031097,-0.927674
735082.822917,1.0,23.031097,50.759,0.030988,23.031097,-0.928149
735082.833333,1.0,23.117408,50.721,0.030988,23.117408,-0.897137
